Source Station,Target Station,Weight
Farringdon,Kings Cross St. Pancras,1351
Leytonstone,Wanstead,243
Harlesden,Stonebridge Park,180
Green Park,Westminster,1133
Elephant and Castle,Kennington,592
Barons Court,West Kensington,289
Borough,London Bridge,1383
Dagenham East,Elm Park,126
Sudbury Hill,Sudbury Town,60
Balham,Clapham South,753
South Woodford,Woodford,284
Earls Court,West Kensington,763
Ruislip,Ruislip Manor,124
Chancery Lane,Holborn,405
Morden,South Wimbledon,1027
London Bridge,Southwark,1307
Elephant and Castle,Lambeth North,361
Oval,Stockwell,364
Northwick Park,Preston Road,99
Croxley,Moor Park,90
Barbican,Moorgate,357
Cockfosters,Oakwood,251
Leyton,Stratford,1692
Chalfont and Latimer,Chorleywood,162
Archway,Highgate,462
Shepherds Bush Market,Wood Lane,804
Hornchurch,Upminster Bridge,93
Canary Wharf,North Greenwich,2912
Bow Road,Mile End,317
Moor Park,Rickmansworth,107
Camden Town,Euston,1881
Kennington,Oval,213
Burnt Oak,Edgware,495
Borough,Elephant and Castle,330
Seven Sisters,Tottenham Hale,801
Brixton,Stockwell,1550
High Barnet,Totteridge and Whetstone,369
Charing Cross,Piccadilly Circus,1265
Holborn,Russell Square,445
Colindale,Hendon Central,504
Becontree,Upney,113
Bromley-by-Bow,West Ham,246
Green Park,Piccadilly Circus,1557
Hanger Lane,North Acton,250
East Acton,White City,380
Heathrow Terminal 5,Heathrow Terminals 1 2 3,444
Barkingside,Newbury Park,180
Paddington,Royal Oak,1086
Angel,Old Street,542
Acton Town,Chiswick Park,199
East Finchley,Finchley Central,558
Blackfriars,Mansion House,473
Southwark,Waterloo,962
Dagenham East,Dagenham Heathway,208
Ladbroke Grove,Latimer Road,541
Aldgate East,Whitechapel,640
Blackhorse Road,Walthamstow Central,1431
Ruislip Gardens,West Ruislip,138
Pimlico,Vauxhall,708
Green Park,Hyde Park Corner,543
Embankment,Waterloo,1831
Baker Street,Marylebone,496
Belsize Park,Chalk Farm,430
Arsenal,Holloway Road,205
Finsbury Park,Manor House,981
Fairlop,Hainault,124
Buckhurst Hill,Loughton,241
Boston Manor,Osterley,117
Charing Cross,Leicester Square,1668
Finchley Road,Wembley Park,638
Green Park,Victoria,2138
Kilburn Park,Queens Park,339
High Street Kensington,Notting Hill Gate,733
Dollis Hill,Neasden,184
Embankment,Westminster,1077
Knightsbridge,South Kensington,1830
Earls Court,High Street Kensington,1116
Blackfriars,Temple,398
Monument,Liverpool Street,2449
Alperton,Park Royal,151
Turnpike Lane,Wood Green,670
Burnt Oak,Colindale,518
Kennington,Waterloo,1716
Battersea Power Station,Nine Elms,1149
Chancery Lane,St. Pauls,225
Barons Court,Earls Court,860
Plaistow,West Ham,246
Ealing Common,North Ealing,65
North Harrow,Pinner,125
Caledonian Road,Holloway Road,223
Blackhorse Road,Tottenham Hale,1274
Earls Court,Gloucester Road,1161
Northwood Hills,Pinner,130
